book_id,category_id
00000000,5
00000001,1
00000002,1
00000003,1
00000004,3
00000005,1
00000006,1
00000007,1
00000008,1
00000009,1
00000010,1
00000011,1
00000012,1
00000013,2
00000014,3
00000015,5
00000016,4
00000017,1
00000018,7
00000019,2
00000020,1
00000021,7
00000022,7
00000023,7
00000024,6
00000025,6
00000026,6
00000027,2
00000028,2
00000029,2
00000030,7
00000031,2
00000032,1
00000033,4
00000034,8
00000035,3
00000036,8
00000037,1
00000038,8
00000039,6
00000040,6
00000041,2
00000042,4
00000043,2
00000044,3
00000045,3
00000046,1
00000047,1
00000048,4
00000049,3
00000050,1
00000051,1
00000052,1
00000053,1
00000054,1
00000055,1
00000056,2
00000057,1
00000058,1
00000059,1
00000060,3
00000061,1
00000062,1
00000063,2
00000064,2
00000065,2
00000066,2
00000067,2
00000068,1
00000069,2
00000070,1
00000071,2
00000072,1
00000073,1
00000074,7
00000075,2
00000076,1
00000077,2
00000078,1
00000079,2
00000080,3
00000081,3
00000082,5
00000083,1
00000084,1
00000085,3
00000086,1
00000087,7
00000088,2
00000089,4
00000090,8
00000091,2
00000092,1
00000093,1
00000094,3
00000095,3
00000096,1
00000097,1
00000098,6
00000099,6
00000100,6
00000101,3
00000102,1
00000103,2
00000104,4
00000105,5
00000106,3
00000107,1
00000108,6
00000109,6
00000110,1
00000111,5
00000112,6
00000113,1
00000114,1
00000115,4
00000116,1
00000117,6
00000118,6
00000119,2
00000120,1
00000121,1
00000122,7
00000123,7
00000124,1
00000125,3
00000126,5
00000127,3
00000128,7
00000129,1
00000130,1
00000131,4
00000132,2
00000133,4
00000134,3
00000135,3
00000136,1
00000137,1
00000138,6
00000139,6
00000140,3
00000141,1
00000142,1
00000143,1
00000144,7
00000145,7
00000146,8
00000147,3
00000148,1
00000149,6
00000150,1
00000151,3
00000152,3
00000153,3
00000154,4
00000155,1
00000156,1
00000157,5
00000158,5
00000159,7
00000160,1
00000161,1
00000162,8
00000163,6
00000164,3
00000165,1
00000166,1
00000167,1
00000168,5
00000169,3
00000170,4
00000171,1
00000172,1
00000173,1
00000174,1
00000175,5
00000176,5
00000177,2
00000178,2
00000179,2
00000180,2
00000181,8
00000182,7
00000183,1
00000184,1
00000185,3
00000186,6
00000187,1
00000188,1
00000189,1
00000190,3
00000191,8
00000192,7
00000193,1
00000194,1
00000195,1
00000196,1
00000197,1
00000198,1
00000199,1
00000200,1
00000201,1
00000202,2
00000203,1
00000204,1
00000205,3
00000206,1
00000207,1
00000208,1
00000209,1
00000210,2
00000211,5
00000212,3
00000213,1
00000214,1
00000215,1
00000216,3
00000217,1
00000218,1
00000219,1
00000220,3
00000221,1
00000222,8
00000223,5
00000224,2
